#,Designation,Pioneer Cement,Asian white Cement,JK Cement,Emirates Steel Arkan,Union Cement Company
1,Production Manager," 8,300 ","18,000 - 20,000","23,000 - 25,000","25,000 - 30,000","15,000 - 20,000"
2,Shift Incharge/ Process Engineer, - ,"8,000 - 10,000","12,000 - 15,000","13,000 - 15,000","10,000 - 12,000"
3,Raw Materials Supervisor," 9,700 ",,,"10,000 - 11,000","8,000 - 10,000"
4,CCR Operator," 3,600 - 4,450 ","5,500 - 6,500","7,000 - 8,500","9,000 - 10,000","6,000 - 8,000"
5,WHR Operator," 3,500 - 4,000 ",-,-,-,"6,000 - 8,000"
6,WHR Supervisor," 5,500 ",-,-,-,"9,000 - 11,000"
7,Pump House Operator," 1,600 ","2,500 - 3,000","2,500 - 3,000",-,"3,000 - 4,000"
8,Stacker Operator," 2,400 ","2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","3,000 - 4,000"
9,Loader Operator," 1,980 - 2,808 ","2,200 - 3,000","3,000 - 3,500",-,"3,000 - 4,000"
10,Palletizer Operator," 1,800 ","2,000 - 2,500","2,000 - 2,500",-,"2,500 - 3,500"
11,Attendant," 1,500 - 2,196 ","2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","3,000 - 4,000"
12,Masons," 1,900 - 2,556 ","2,000 - 2,500","2,000 - 2,500",-,"2,500 - 3,500"
13,Heavy Truck Driver," 2,000 - 3,552 ",-,"4,000 - 4,500",-,"4,000 - 5,000"
14,Shovel Operator," 2,200 ","3,500 - 4,000","3,500 - 4,000",-,"3,500 - 4,500"
15,Chief Engineer (Mechanical)," 14,685 ","18,000 - 20,000","22,000 - 25,000","20,000 - 25,000","22,000 - 28,000"
16,Dy. Chief Engineer (Mechanical)," 9,189 - 9,204 ","8,000 - 10,000","12,000 - 15,000","16,000 - 17,000","18,000 - 22,000"
17,Assistant Engineer (Mechanical)," 3,813 - 6,359 ","5,000 - 6,000","7,000 - 8,000","13,000 - 15,000","10,000 - 14,000"
18,Planning & Inspection Engineer," 12,000 ","5,000 - 6,000","7,000 - 8,000","18,000 - 20,000","12,000 - 16,000"
19,Mechanic," 2,400 ",-,"3,000 - 3,500","5,000 - 6,000","4,000 - 6,000"
20,Diesel Mechanic," 3,000 ","3,500 - 4,000","3,500 - 4,000",-,"4,500 - 6,500"
21,Tyre Mechanic," 2,000 ","2,000 - 2,500","2,000 - 2,500",-,"3,500 - 5,000"
22,Auto Garage Incharge," 7,000 ","6,000 - 7,000","6,000 - 7,000",-,"6,000 - 8,000"
23,Millwright Fitter," 3,175 - 3,700 ","2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","4,000 - 6,000"
24,Fitter," 3,175 - 3,700 ","2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","3,500 - 5,000"
25,MTO," 2,865 ","2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","3,000 - 4,000"
26,Welder," 2,363 - 2,669 ","2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","3,500 - 5,000"
27,Rigger," 1,900 - 2,425 ","2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","2,500 - 3,500"
28,Hydra Operator," 2,376 ","2,200 - 3,000","3,000 - 3,500",-,"3,500 - 4,500"
29,Foreman," 4,260 ","5,000 - 6,000","7,000 - 8,000","9,000 - 10,000","6,000 - 8,000"
30,Packing Plant Supervisor," 5,800 ","5,500 - 6,500","7,000 - 9,000",-,"8,000 - 10,000"
31,Packer Operator," 1,535 - 2,188 ","2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","3,000 - 4,000"
32,Dy. Chief Engineer (Electrical)," 8,500 ","18,000 - 20,000","22,000 - 25,000","20,000 - 25,000","18,000 - 22,000"
33,Engineer (Instrumentation)," 5,500 - 6,275 ","5,500 - 6,500","8,000 - 10,000","13,000 - 15,000","12,000 - 16,000"
34,Junior Engineer (Instrumentation)," 5,840 ","5,500 - 6,500","5,000 - 7,000",-,"8,000 - 11,000"
35,Technician," 2,000 - 2,945 ","3,000 - 3,500","3,000 - 4,500","5,000 - 6,000","4,000 - 6,000"
36,Electrician," 1,700 - 2,623 ","3,000 - 3,500","3,000 - 4,500","5,000 - 6,000","4,000 - 6,000"
37,Quality Control Manager," 28,000 ","18,000 - 20,000","25,000 - 30,000","25,000 - 30,000","18,000 - 24,000"
38,Chemist," 5,500 ","5,500 - 6,500","8,000 - 12,000","11,000 - 13,000","8,000 - 12,000"
39,Lab Technician," 3,000 ","3,500 - 4,000","4,500 - 6,500","8,000 - 9,000","4,000 - 6,000"
40,Tester / Gauger," 1,500 - 3,070 ","1,400","1,800","8,000 - 9,000","3,500 - 5,000"
41,Sample Boy," 1,300 - 2,049 ","1,400","1,800","3,000 - 4,000","2,500 - 3,500"
42,Procurement Manager, - ,"8,000 - 10,000","15,000 - 20,000","20,000 - 25,000","18,000 - 24,000"
43,Procurement Executive," 3,000 ","5,000 - 6,000","7,000 - 9,000","12,000 - 13,000","8,000 - 12,000"
44,Asst. Purchase Officer, - ,"5,000 - 6,000","7,000 - 9,000","12,000 - 13,000","6,000 - 8,000"
45,Purchase Agent," 4,800 ","5,000 - 6,000","7,000 - 9,000","12,000 - 13,000","4,000 - 6,000"
46,Weigh Bridge Operator," 2,000 - 3,200 ","2,000 - 2,500","2,500 - 3,000","7,000 - 8,000","3,000 - 4,000"
47,Assistant Stores Manager," 18,413 ",-,"10,000 - 13,000",-,"8,000 - 10,000"
48,Stores Officer," 6,000 ","6,000 - 8,000","6,000 - 8,000","12,000 - 13,000","6,000 - 8,000"
49,Stores Assistant," 2,116 ",-,"3,000 - 3,500","12,000 - 13,000","3,500 - 5,000"
50,Store House Man," 1,500 ",-,"3,000 - 3,500",-,-
51,Head of Finance," 25,000 ","25,000 - 30,000","30,000 - 35,000","30,000 - 35,000","25,000 - 35,000"
52,Finance Co-Ordinator," 6,000 ",-,-,-,-
53,Financial Analyst," 8,000 ","8,000 - 10,000","8,000 - 10,000","15,000 - 16,000","10,000 - 15,000"
54,Financial Accountant," 5,155 ","5,500 - 6,500","6,500 - 9,000","12,000 - 13,000","8,000 - 12,000"
55,Accountant," 6,500 ","5,500 - 6,500","6,500 - 9,000","12,000 - 13,000","6,000 - 9,000"
56,HR & Admin Manager," 25,000 ","10,000 - 13,000","25,000 - 30,000","30,000 - 35,000","18,000 - 25,000"
57,Deputy HR Manager," 9,500 ",-,"8,000 - 10,000","20,000 - 25,000","14,000 - 18,000"
58,HR Executive," 4,000 ",-,"6,000 - 8,000","10,000 - 12,000","6,000 - 9,000"
59,Admin Assistant," 3,000 ","4,000 - 5,000","5,000 - 6,000",-,"3,500 - 5,000"
60,Office Boy," 1,400 ","1,800 - 2,200","1,800 - 2,200","3,000 - 4,000","1,800 - 2,500"
61,Driver," 2,500 - 4,100 ","2,500 - 3,000","2,500 - 3,000","6,000 - 7,000","2,500 - 3,500"
62,Cook," 2,000 - 2,352 ",-,-,-,-
63,House Keeping Attendant," 1,300 - 1,873 ","1,400","2,000",-,-
64,Gardener," 2,000 ","1,400","2,000",-,-
65,Security Manager," 14,758 ",-,-,-,-
66,Asst. Security Manager," 14,529 ",-,-,-,-
67,HSE Supervisor," 6,000 ","8,000 - 10,000","9,000 - 11,000","20,000 - 25,000","8,000 - 12,000"
68,HSE Officer," 4,000 ",-,"5,000 - 6,000","10,000 - 12,000","6,000 - 9,000"
69,Security Supervisor," 4,000 ",-,-,"7,000 - 8,000",-
70,Security Guard," 1,600 - 1,900 ",-,-,-,-
71,First Aid," 5,745 ",-,-,-,-
72,Assistant Sales Manager," 9,500 ","15,000 - 20,000","20,000 - 25,000","20,000 - 25,000","12,000 - 18,000"
73,Senior Sales & Logistics," 22,800 ","6,000 - 8,000","6,000 - 8,000","20,000 - 25,000","10,000 - 15,000"
74,Senior Engineer (Technical – Sales), -   ,"6,000 - 8,000","6,000 - 8,000",-,"14,000 - 20,000"
75,Sales Executive, -   ,"5,500 - 6,500","8,000 - 10,000","10,000 - 12,000","6,000 - 10,000"
76,Sales Co-Ordinator," 6,000 ",-,-,-,"4,000 - 6,000"
77,Sales Administrative Assistant," 3,200 ",-,-,"10,000 - 12,000","3,500 - 5,000"
78,Marketing Co-Ordinator," 5,200 ",-,"5,000 - 6,000",-,"5,000 - 8,000"
79,Truck Driver -  Bulker,  ,-,"3,500 - 4,000",-,-
80,Asst. Public Relation Officer," 11,859 ","7,000 - 10,000","10,000 - 12,000","10,000 - 12,000","6,000 - 8,000"
81,Asst. External Relationship Manager," 21,493 ",-,-,-,"8,000 - 12,000"
82,Acting IT Manager," 8,000 ","8,000 - 10,000","10,000 - 12,000","20,000 - 25,000","14,000 - 20,000"
83,Junior IT Help Desk Support," 3,300 ",-,-,"10,000 - 12,000","4,000 - 6,000"
84,Project Manager, -   ,-,-,-,-
85,Projects Coordinator," 16,000 ",-,-,-,-
86,Plant Co-Ordinator," 11,000 ",-,-,-,-
